10	1.4000000000e-06
20	5.5000000000e-06
30	1.0600000000e-05
40	1.8000000000e-05
50	2.0400000000e-05
60	2.2600000000e-05
70	3.3000000000e-05
80	3.9200000000e-05
90	4.7100000000e-05
100	6.0900000000e-05
110	7.3400000000e-05
120	8.6800000000e-05
130	9.9100000000e-05
140	1.2070000000e-04
150	1.2890000000e-04
160	1.5050000000e-04
170	1.6770000000e-04
180	1.7530000000e-04
190	2.1460000000e-04
200	2.6710000000e-04
210	2.7570000000e-04
220	2.7600000000e-04
230	3.2130000000e-04
240	3.4650000000e-04
250	3.5360000000e-04
260	4.6900000000e-04
270	4.3400000000e-04
280	4.4910000000e-04
290	4.5220000000e-04
300	4.8060000000e-04
310	4.8990000000e-04
320	4.8780000000e-04
330	5.7520000000e-04
340	6.1220000000e-04
350	6.0610000000e-04
360	7.1070000000e-04
370	7.3490000000e-04
380	7.6740000000e-04
390	7.7430000000e-04
400	7.4930000000e-04
410	7.5010000000e-04
420	1.5998000000e-03
430	1.1680000000e-03
440	9.7330000000e-04
450	8.8420000000e-04
460	9.3320000000e-04
470	9.6770000000e-04
480	1.3140000000e-03
490	9.9540000000e-04
500	1.0497000000e-03
